"Added fields","Added fields"
"Additional Columns","Additional Columns"
"Available fields","Available fields"
"Cancel list changes","Cancel list changes"
"Check the ones you want to hide","Check the ones you want to hide"
"Click to add to product grid","Click to add to product grid"
"Click to remove from product grid","Click to remove from product grid"
"Default fields","Default fields"
"Edit in list","Edit in list"
"Export","Export"
"Manage Products","Manage Products"
"Reset Filter","Reset Filter"
"Reset list changes","Reset list changes"
"Save list","Save list"
"Search","Search"
"Websites","Websites"
"You are using default product grid with no custom columns in it. Add custom attributes by clicking the one(s) you need in the list below.","You are using default product grid with no custom columns in it. Add custom attributes by clicking the one(s) you need in the list below."


